ID,Patch Number,Point Code,Soil Taken,Bulk Density Taken,Depth of O Layer (Punch)(mm),%Ground Cover,% Bare Ground,Depth of A Layer (Punch) (mm),Additional Notes,% Impervious Surface,Date Sampled,Field Techs
,,SWAPRK 16,NO,NO,,0,100,130,Near path. Many white snail shells/ all empty,,7/31/2019,Laura Wortman
,,SWAPRK 17,NO,NO,,10,90,90,near tall grass. Lots of dead trees,,7/31/2019,Laura Wortman
,,SWAPRK 18,YES,YES,,5,95,200,on water's edge,,7/31/2019,Laura Wortman
,,SWAPRK 21,NO,NO,,0,100,60,yellow jackets! Bricks and bits of cement,,7/31/2019,Laura Wortman
,,SWAPRK 22,NO,NO,,2,98,70,near tall grass. Lots of dead trees,,7/31/2019,Laura Wortman
,,SWAPRK 23,NO,NO,,5,95,70,more dead trees and grass,,7/31/2019,Laura Wortman
,,SWAPRK 24,NO,NO,,2,98,70,,,7/31/2019,Laura Wortman
,,SWAPRK 25,NO,NO,,0.5,100,120,lots of dead trees,,7/31/2019,Laura Wortman
,,SWAPRK 26,YES,YES,,25,75,100,"near tall grass, marshy",,7/31/2019,Laura Wortman
,,SWAPRK 28,NO,NO,,25,75,70,EDGE ,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 29,NO,NO,,2,98,90,MID FOREST,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 30,NO,NO,,30,70,60,near grassy edge,0,8/2/2019,Jennifer Strakna
,,SWAPRK 31,NO,NO,,2,98,80,by grassy patch/edge,0,8/2/2019,Jennifer Strakna
,,SWAPRK 32,NO,NO,,0.25,99.75,50,close to edge,0,8/2/2019,Jennifer Strakna
,,SWAPRK 33,NO,NO,,0,100,130,near gravel path,,7/31/2019,Laura Wortman
,,SWAPRK 34,YES,YES,,0,100,160,"tall grass, dead trees",,7/31/2019,Laura Wortman
,,SWAPRK 37,NO,NO,,10,90,60,,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 38,NO,NO,,60,40,60,ON EDGE,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 39,NO,NO,,100,,100,,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 40,NO,NO,,10,90,75,,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 41,NO,NO,,20,80,90,,,7/31/2019,Laura Wortman
,,SWAPRK 42,NO,NO,,2,98,90,,,7/31/2019,Laura Wortman
,,SWAPRK 46,NO,NO,,2,98,110,CLOSE TO GRASSY EDGE,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 48,NO,NO,,100,,60,,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 49,NO,NO,,100,,30,ON EDGE,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 50,NO,NO,,0,100,120,,,7/31/2019,Laura Wortman
,,SWAPRK 51,YES,YES,,100,0,190,,,7/31/2019,Laura Wortman
,,SWAPRK 55,NO,NO,,20,80,115,,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 56,NO,NO,,15,85,60,ON EDGE,,2-Aug,Charise Pelan-Maclean
,,SWAPRK 58,NO,NO,,100,0,85,clearing of grass,0,8/1/2019,Jennifer Strakna
,,SWAPRK 60,NO,NO,,8,92,70,in small tree patch,0,8/1/2019,Jennifer Strakna
,,SWAPRK 67,NO,NO,,95,5,N/A,"tall grass, no trees",0,8/1/2019,Jennifer Strakna
,,SWAPRK 7,NO,NO,,20,80,110,"near tall grass, beside deer trail",,7/31/2019,Laura Wortman
,,SWAPRK 75,NO,NO,,100,0,N/A,"reeds over ten feet, no trees",0,8/1/2019,Jennifer Strakna
,,SWAPRK 76,NO,NO,,100,0,95,tall reeds/grass,0,8/1/2019,Jennifer Strakna
,,SWAPRK 77,NO,NO,,0,100,185,near a patch of reeds on the top of step,0,8/1/2019,Jennifer Strakna
,,SWAPRK 78,NO,NO,,30,70,102.5,on edge next to water,0,8/1/2019,Jennifer Strakna
,,SWAPRK 8,NO,NO,,10,90,110,snares have been set to catch wildlife.,,7/31/2019,Laura Wortman
,,SWAPRK 83,NO,NO,,100,0,60,on edge full sun. along a dirt road,,8/1/2019,Laura Wortman
,,SWAPRK 84,NO,NO,,100,0,50,,,8/1/2019,Laura Wortman
,,SWAPRK 85,NO,NO,,15,85,97.5,near edge,0,8/1/2019,Jennifer Strakna
,,SWAPRK 86,NO,NO,,20,80,N/A,"on edge near lake, no trees",0,8/1/2019,Jennifer Strakna
,,SWAPRK 9,NO,NO,,0,100,90,land on former battery dump site,,7/31/2019,Laura Wortman
