ID,Patch Number,Point Code,Soil Taken,Bulk Density Taken,Depth of O Layer (Punch)(mm),%Ground Cover,% Bare Ground,Depth of A Layer (Punch) (mm),Additonal Notes,% Impervious Surface,Date Sampled,Field Techs
365,22,SINAI 16,1,1,0,2,98,40,,0,,
366,22,SINAI 17,0,0,9999999,1,99,9999999,,0,,
367,22,SINAI 18,0,0,9999999,3,97,9999999,,0,,
368,22,SINAI 19,1,1,0,1,99,135,,0,,
369,22,SINAI 20,0,0,9999999,1,99,9999999,,0,,
370,22,SINAI 21,0,0,9999999,2,98,9999999,,0,,
371,22,SINAI 22,0,0,9999999,1,99,9999999,,0,,
372,22,SINAI 23,1,1,0,2,98,135,,0,,
373,22,SINAI 24,0,0,9999999,43,57,9999999,,0,,
374,22,SINAI 25,0,0,9999999,40,60,9999999,,0,,
375,22,SINAI 26,1,1,0,92,8,40,,0,,
376,22,SINAI 27,1,1,0,2,98,135,,0,,
377,22,SINAI 28,0,0,9999999,45,55,9999999,,0,,
378,22,SINAI 29,0,0,9999999,75,25,9999999,,0,,
379,22,SINAI 30,0,0,9999999,35,65,9999999,,0,,
380,22,SINAI 31,1,1,0,85,15,70,,0,,
381,22,SINAI 32,0,0,9999999,35,65,9999999,,0,,
382,22,SINAI 33,0,0,9999999,100,0,9999999,,0,,
383,22,SINAI 34,1,1,0,83,17,60,,0,,
384,21,MDSB 2,1,0,0,20,80,70,,0,,
385,21,MDSB 3,1,0,0,43,57,105,,0,,
386,21,MDSB 4,1,1,0,31,69,70,,0,,
387,21,MDSB 5,1,0,0,10,90,70,,0,,
388,21,MDSB 6,1,0,0,30,70,100,,0,,
389,21,MDSB 7,1,1,0,28,72,120,,0,,
390,21,MDSB 8,0,0,9999999,40,60,9999999,,0,,
391,21,MDSB 9,1,1,0,100,0,200,,0,,
392,21,MDSB 10,1,0,0,42,58,170,,0,,
393,21,MDSB 11,1,0,0,12,88,260,,0,,
394,21,MDSB 12,1,1,0,73,27,120,,0,,
395,21,MDSB 13,1,1,0,3,97,50,,0,,
396,21,MDSB 14,0,0,9999999,2,98,9999999,,0,,
397,21,MDSB 15,0,0,9999999,1,99,9999999,,0,,
398,21,MDSB 16,1,1,0,2,98,120,,0,,
399,21,MDSB 17,0,0,9999999,100,0,9999999,,0,,
400,21,MDSB 18,0,0,9999999,100,0,9999999,,0,,
401,21,MDSB 19,1,1,0,83,17,110,,0,,
402,21,MDSB 20,0,0,9999999,18,82,9999999,,0,,
403,21,MDSB 21,0,0,9999999,7,93,9999999,,0,,
404,21,MDSB 22,1,1,0,6,94,130,,0,,
405,21,MDSB 23,0,0,9999999,6,94,9999999,,0,,
406,21,MDSB 24,0,0,9999999,28,72,9999999,,0,,
407,21,MDSB 25,1,0,0,23,77,130,,0,,
408,21,MDSB 26,0,0,9999999,3,97,9999999,,0,,
409,21,MDSB 27,0,0,9999999,77,23,9999999,,0,,
410,21,MDSB 28,1,1,0,43,57,110,,0,,
411,21,MDSB 29,0,0,9999999,8,92,9999999,,0,,
412,21,MDSB 30,0,0,9999999,1,9,9999999,,90,,
413,21,MDSB 31,1,1,0,58,42,120,,0,,
414,21,MDSB 32,0,0,9999999,9,91,9999999,,0,,
415,21,MDSB 33,0,0,9999999,37,63,9999999,,0,,
416,21,MDSB 34,1,1,0,15,85,105,,0,,
417,21,MDSB 35,0,0,9999999,24,76,9999999,,0,,
418,21,MDSB 36,0,0,9999999,15,85,9999999,,0,,
419,21,MDSB 37,1,1,0,9,91,170,,0,,
420,21,MDSB 38,0,0,9999999,48,52,9999999,,0,,
421,21,MDSB 39,0,0,9999999,19,81,9999999,,0,,
422,21,MDSB 40,1,1,0,7,93,45,,0,,
423,21,MDSB 41,0,0,9999999,7,93,9999999,,0,,
424,21,MDSB 42,0,0,9999999,1,99,9999999,,0,,
425,21,MDSB 43,1,1,0,1,99,95,,0,,
426,21,MDSB 44,0,0,9999999,24,76,9999999,,0,,
427,21,MDSB 45,1,1,0,100,0,120,,0,,
428,21,MDSB 46,0,0,9999999,1,99,9999999,,0,,
429,21,MDSB 47,0,0,9999999,15,85,9999999,,0,,
430,21,MDSB 48,1,1,30,8,92,30,,0,,
431,21,MDSB 49,0,0,9999999,10,90,9999999,,0,,
432,13,ND 32,0,0,9999999,9999999,9999999,9999999,,9999999,,
,,Knoll 5,,,,25,0,,,,,
,,Knoll 6,,,,70,30,,,,,
,,Knoll 7 ,,,,20,75,,,,,
,,Knoll 8,,,,50,0,,,,,
,,Knoll 9,,,,100,0,,,,,
,,Knoll 10,,,,50,50,,,,,
,,Knoll 11,,,,100,0,,,,,
,,Knoll 12,,,,59,30,,,,,
,,Knoll 15,,,,26,0,,,,,
,,Knoll 16,,,,32,0,,,,,
,,Knoll 17,,,,63,10,,,,,
,, Knoll 18,,,,0,0,,,,,
,,Knoll 19,,,,15,0,,,,,
,,Knoll 20,,,,50,0,,,,,
,,Knoll 21,,,,90,10,,,,,
,,Knoll 22,,,,100,0,,,,,
,,Knoll 23,,,,40,50,,,,,
,,Knoll 24,,,,40,0,,,,,
,,Knoll 25,,,,10,30,,,,,
,,Knoll 26,,,,30,0,,,,,
,,Knoll 27,,,,1,0,,,,,
,,Knoll 28,,,,5,0,,,,,
,,Knoll 29,,,,25,75,,,,,
,,Knoll 33,,,,10,10,,,,,
,,Knoll 34,,,,60,0,,,,,
,,Knoll 37,,,,60,0,,,,,
,,Knoll 38,,,,55,20,,,,,
,,Knoll 42,,,,95,0,,,,,
,,Knoll 43,,,,15,0,,,,,
,,Knoll 44,,,,16,20,,,,,
,,Knoll 45,,,,1,5,,,,,
,,Knoll 46,,,,10,0,,,,,
,,Knoll 47,,,,10,20,,,,,
,,Knoll 48,,,,0,0,,,,,
,,Knoll 51,,,,10,40,,,,,
,,Knoll 52,,,,30,70,,,,,
,,Knoll 53,,,,5,95,,,,,
,,Knoll 54,,,,75,15,,,,,
,,Knoll 55,,,,40,0,,,,,
,,Knoll 56,,,,45,50,,,,,
,,Knoll 58,,,,12,88,,,,,
,,Knoll 59,,,,55,5,,,,,
,,Knoll 60,,,,50,0,,,,,
,,Knoll 61,,,,40,30,,,,,
,,Knoll 65,,,,30,0,,,,,
,,Tyrone St 2,,,,80,20,,,,,
,,Tyrone St 3,,,,90,10,,,,,
,,Tyrone St 4,,,,70,15,,,,,
,,Tyrone St 5,,,,25,75,,,,,
,,Tyrone St 7,,,,15,85,,,,,
,,Tyrone St 8,,,,20,80,,,,,
,,Tyrone St 9,,,,30,0,,,,,
,,Primson Ave 1,,,,100,0,,,,,
,,Primson Ave 3,,,,40,60,,,,,
,,Primson Ave 4,,,,50,50,,,,,
,,Primson Ave 5,,,,75,0,,,,,
,,Primson Ave 6,,,,60,40,,,,,
,, Leidig Rec Center 1,,,,75,0,,,,,
,,Leidig Rec Center 2,,,,100,0,,,,,
,,Leidig Rec Center 3,,,,100,0,,,,,
,,Leidig Rec Center 6,,,,80,20,,,,,
,,Leidig Rec Center 7,,,,95,5,,,,,
,,Leidig Rec Center 8,,,,60,40,,,,,
,,Leidig Rec Center 9 ,,,,100,0,,,,,
,,Leidig Rec Center 12,,,,100,0,,,,,
,,Loyola Northway 1,,,,40,60,,,,,
,,Loyola Northway 3,,,,100,0,,,,,
,,Loyola Northway 4,,,,70,30,,,,,
,,Ken Oak Rd 1,,,,80,20,,,,,
,,Ken Oak Rd 2,,,,100,0,,,,,
,,Ken Oak Rd 3,,,,100,0,,,,,
,,Ken Oak Rd 4,,,,100,0,,,,,
,,Hockley Rd 1,,,,50,50,,,,,
,,Hockley Rd 2,,,,75,0,,,,,
,,Hockley Rd 3,,,,90,10,,,,,
,,Hockley Rd 4,,,,25,0,,,,,
,,Hockley Rd 5,,,,100,0,,,,,
,,Hockley Rd 6,,,,60,0,,,,,
,,Hockley Rd 7,,,,0,0,,,,,
,,Hockley Rd 8,,,,55,20,,,,,
,,Hockley Rd 9,,,,15,0,,,,,
,,Hockley Rd 10,,,,15,0,,,,,
,,Hockley Rd 11,,,,80,20,,,,,
,,Hockley Rd 12,,,,70,30,,,,,
,,Stillmeadow 2,,,,80,20,,,,,
,,Stillmeadow 5,,,,70,30,,,,,
,,Stillmeadow 6,,,,90,10,,,,,
,,Stillmeadow 10,,,,50,50,,,,,
,,Stillmeadow 12,,,,20,80,,,,,
,,Stillmeadow 13,,,,60,15,,,,,
,,Stillmeadow 16,,,,50,50,,,,,
,,Stillmeadow 17,,,,100,0,,,,,
,,Stillmeadow 18,,,,60,0,,,,,
,,Stillmeadow 19,,,,30,0,,,,,
,,Stillmeadow 20,,,,40,0,,,,,
,,Stillmeadow 21,,,,70,30,,,,,
,,Stillmeadow 22,,,,10,50,,,,,
,,Stillmeadow 23,,,,25,75,,,,,
,,Stillmeadow 24,,,,36,0,,,,,
,,Stillmeadow 25,,,,5,0,,,,,
,,Stillmeadow 26,,,,30,20,,,,,
,,Stillmeadow 27,,,,30,0,,,,,
,,Stillmeadow 28,,,,15,80,,,,,
,,Stillmeadow 29,,,,5,95,,,,,
,,Stillmeadow 30,,,,15,15,,,,,
,,Stillmeadow 32,,,,70,10,,,,,
,,Stillmeadow 33,,,,85,15,,,,,
,,Stillmeadow 38,,,,40,60,,,,,
,,Stillmeadow 39,,,,50,50,,,,,
,,Forest Glen 1,,,,60,10,,,,,
,,Forest Glen 2,,,,30,70,,,,,
,,Forest Glen 4,,,,0,95,,,,,
,,Forest Glen 5,,,,0,0,,,,,
,,Forest Glen 6,,,,2,15,,,,,
,,Forest Glen 7,,,,75,25,,,,,
,,Forest Glen 8,,,,0,0,,,,,
,,Forest Glen 9,,,,5,90,,,,,
,,Forest Glen 10,,,,5,20,,,,,
,,Forest Glen 15,,,,15,0,,,,,
,,Forest Glen 16,,,,0,0,,,,,
,,Forest Glen 17,,,,20,0,,,,,
,,Forest Glen 18,,,,55,0,,,,,
,,Forest Glen 19,,,,100,0,,,,,
,,Forest Glen 20,,,,18,10,,,,,
,,Forest Glen 27,,,,80,20,,,,,
,,Forest Glen 28,,,,100,0,,,,,
,,Forest Glen 29,,,,1,99,,,,,
,,Forest Glen 30,,,,10,90,,,,,
,,Forest Glen 31,,,,4,0,,,,,
,,Forest Glen 32,,,,90,10,,,,,
,,Forest Glen 35,,,,40,60,,,,,
,,Forest Glen 36,,,,90,0,,,,,
,,Forest Glen 37,,,,30,20,,,,,
,,Forest Glen 38,,,,10,90,,,,,
,,Forest Glen 39,,,,2,96,,,,,
,,Forest Glen 40,,,,100,0,,,,,
,,Forest Glen 42,,,,35,65,,,,,
,,Forest Glen 43,,,,15,75,,,,,
,,Forest Glen 44,,,,60,40,,,,,
,,Forest Glen 45,,,,0,0,,,,,
,,Forest Glen 46,,,,35,0,,,,,
,,Forest Glen 47,,,,1,99,,,,,
,,Forest Glen 48,,,,10,80,,,,,
,,Forest Glen 49,,,,22,0,,,,,
,,Forest Glen 50,,,,70,0,,,,,
,,Forest Glen 51,,,,6,94,,,,,
,,Forest Glen 52,,,,45,0,,,,,
,,Forest Glen 53,,,,35,5,,,,,
,,Forest Glen 54,,,,10,0,,,,,
,,Forest Glen 55,,,,27,0,,,,,
,,Forest Glen 56,,,,35,0,,,,,
,,Forest Glen 57,,,,5,0,,,,,
,,Forest Glen 69,,,,20,0,,,,,
,,Forest Glen 70,,,,55,0,,,,,
,,Village Sq 1,,,,6,94,,,,,
,,Village Sq 2,,,,75,25,,,,,
,,Village Sq 3,,,,32,0,,,,,
,,Village Sq 4,,,,20,80,,,,,
,,Village Sq 6,,,,0,0,,,,,
,,Village Sq 7,,,,30,0,,,,,
,,Village Sq 8,,,,100,0,,,,,
,,Village Sq 9,,,,1,0,,,,,
,,Village Sq 10,,,,25,0,,,,,
,,Village Sq 11,,,,50,50,,,,,
,,Village Sq 12,,,,70,30,,,,,
,,Village Sq 13,,,,75,25,,,,,
,,Village Sq 15,,,,40,40,,,,,
,,Village Sq 16,,,,30,70,,,,,
,,Village Sq 17,,,,35,65,,,,,
,,Village Sq 18,,,,75,25,,,,,
,,Village Sq 19,,,,80,20,,,,,
,,Village Sq 20,,,,100,0,,,,,
,,Village Sq 21,,,,10,80,,,,,
,,Village Sq 22,,,,60,0,,,,,
,,Village Sq 23,,,,70,30,,,,,
,,Village Sq 24,,,,35,20,,,,,
,,Village Sq 26,,,,65,35,,,,,
,,Village Sq 27,,,,15,0,,,,,
,,Village Sq 29,,,,25,75,,,,,
,,Village Sq 30,,,,17,0,,,,,
,,Village Sq 32,,,,30,70,,,,,
,,Village Sq 33,,,,5,50,,,,,
,,Village Sq 34,,,,20,0,,,,,
,,Village Sq 36,,,,50,50,,,,,
,,Village Sq 37,,,,20,80,,,,,
,,Village Sq 38,,,,65,0,,,,,
,,Village Sq 39,,,,17,50,,,,,
,,Village Sq 40,,,,90,10,,,,,
,,Village Sq 41,,,,40,10,,,,,
,,Village Sq 43,,,,100,0,,,,,
,,Village Sq 44,,,,30,0,,,,,
,,Todd Ave 1,,,,30,0,,,,,
,,Todd Ave 2,,,,10,0,,,,,
,,Todd Ave 3,,,,5,0,,,,,
,,Todd Ave 4,,,,25,15,,,,,
,,Todd Ave 5,,,,75,10,,,,,
,,Todd Ave 21,,,,5,95,,,,,
,,Todd Ave 22,,,,85,15,,,,,
,,Todd Ave 44,,,,40,50,,,,,
,,Todd Ave 127,,,,62,36,,,,,
