Plot Name/ Pt. #,Date,Species Name (1),Species Name (2),Species Name (3),Species Name (4),Species Name (5),Species Name (6),Species Name (7),Species Name (8),% Cover (Species 1),% Cover (Species 2),% Cover (Species 3),% Cover (Species 4),% Cover (Species 5),% Cover (Species 6),% Cover (Species 7),% Cover (Species 8),Invasive (Y/N) Species 1,Invasive (Y/N) Species 2,Invasive (Y/N) Species 3,Invasive (Y/N) Species 4,Invasive (Y/N) Species 5,Invasive (Y/N) Species 6,Invasive (Y/N) Species 7,Invasive (Y/N) Species 8,% Invasive Cover,# of Invasive Species
Hockley Rd. Pt. 1,07/20/18,Lonicera japonica,Polygonum perfoliata,Parthenocissus quinquefolia,Ampelopsis glandulosa,N/A,N/A,N/A,N/A,10,25,5,10,N/A,N/A,N/A,N/A,Y,Y,N,Y,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 2,07/20/18,Lonicera japonica,Parthenocissus quinquefolia,N/A,N/A,N/A,N/A,N/A,N/A,70,5,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 3,07/20/18,Polygonum perfoliata,Hedera helix,Betula playphylla,Lonicera japonica,Ampelopsis glanulosa,Celastrus orbiculatus,Moss,N/A,40,20,1,5,10,5,4,N/A,Y,Y,Y,Y,Y,N,N,N/A,,
Hockley Rd. Pt. 4,07/18/18,Parthenocissus quinquefolia,Ampelopsis glandulosa,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,15,5,5,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 5,07/18/18,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 6,07/18/18,Campsis radicans,Lonicera japonica,Verbena officinalis,Toxicodendron radicans,Allaria petiolata,N/A,N/A,N/A,20,30,1,1,8,N/A,N/A,N/A,N,Y,Y,N,Y,N/A,N/A,N/A,,
Hockley Rd. Pt. 7,07/18/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 8,07/18/18,Smilax rotundifolia,Viburnum acerifolium,Vitis riparia,Parthenocissus quinquefolia,Cotinus coggygria,Phytolacca americana,N/A,N/A,5,20,10,10,5,5,N/A,N/A,N,N,N,N,Y,N,N/A,N/A,,
Hockley Rd. Pt. 9,07/20/18,Lonicera japonica,Toxicodendron radicans,N/A,N/A,N/A,N/A,N/A,N/A,14,1,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 10,07/20/18,Rosa multiflora,Lonicera japonica,Parthenocissus quinquefolia,Alliaria petiolata,N/A,N/A,N/A,N/A,3,10,1,1,N/A,N/A,N/A,N/A,Y,Y,N,Y,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 11,07/20/18,Lonicera japonica,Polygonum perfoliatum,Rosa multiflora,N/A,N/A,N/A,N/A,N/A,40,37,3,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 12,07/20/18,Buddleja lindleyana,Toxicodendron radicans,Alliaria petiolata,Lonicera japonica,N/A,N/A,N/A,N/A,55,10,2,3,N/A,N/A,N/A,N/A,Y,N,Y,Y,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 13,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 14,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 15,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 16,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 17,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 18,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 19,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 20,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 21,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hockley Rd. Pt. 22,07/20/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 1,07/12/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 2,07/27/18,Centella asiatica,Turf,Ampelopsis glandulosa,N/A,N/A,N/A,N/A,N/A,15,60,5,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 3,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 4,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 5,07/27/18,Rosa multiflora,Geum canadense,Centella asiatica,N/A,N/A,N/A,N/A,N/A,50,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 6,07/27/18,Fraxinus americana,Rosa multiflora,Ampelopsis glandulosa,Phytolacca americana,Hedera helix,N/A,N/A,N/A,30,30,5,20,5,N/A,N/A,N/A,N,Y,Y,N,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 7,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 8,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 9,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 10,07/27/18,Ampelopsis glandulosa,Turf,Hedera helix,Allaria petiolata,N/A,N/A,N/A,N/A,35,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 11,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 12,07/27/18,Fraxinus pennsylvanica,Hedera helix,Allaria petiolata,N/A,N/A,N/A,N/A,N/A,5,10,5,N/A,N/A,N/A,N/A,N/A,N ,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 13,07/27/18,Allaria petiolata,Hedera helix,Lonicera japonica,Viburnum acerifolium,Rosa multiflora,Phytolacca americana,Parthenocissus quinquefolia,N/A,20,10,15,8,1,5,1,N/A,N/A,Y,Y,N,Y,N,N,N/A,,
Stillmeadow Church Pt. 14,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 15,07/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 16,07/27/18,Hedera helix,Lonicera japonica,Viburnum acerifolium,Allaria petiolata,N/A,N/A,N/A,N/A,20,20,5,5,N/A,N/A,N/A,N/A,Y,Y,N,Y,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 17,07/27/18,Lonicera japonica,Ampelopsis glandulosa,Hedera helix,N/A,N/A,N/A,N/A,N/A,90,5,5,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 18,07/30/18,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,40,20,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 19,07/27/18,Allaria petiolata,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,5,20,5,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 20,07/30/18,Lonicera japonica,Hedera helix,Parthenocissus quinquefolia,Viburnum acerifolium,N/A,N/A,N/A,N/A,15,15,5,5,N/A,N/A,N/A,N/A,Y,Y,N,N,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 21,07/30/18,Hedera helix,Ampelopsis glandulosa,Toxicodendron radicans,Lonicera japonica,Ipomoea hederacea,Parthenocissus quinquefolia,Rosa multiflora,Geum canadense,15,20,2,10,3,5,5,10,Y,Y,N,Y,Y,N,Y,N,,
Stillmeadow Church Pt. 22,07/30/18,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 23,07/30/18,Toxicodendron radicans,Lonicera japonica,Hedera helix,Parthenocissus quinquefolia,Fern,Bidens bipinnata,Viburnum acerifolium,Allaria petiolata,5,5,5,1,1,1,2,5,N,Y,Y,N,N,N,N,Y,,
Stillmeadow Church Pt. 24,07/30/18,Lonicera japonica,Hedera helix,Rosa multiflora,Fraxinus americana,N/A,N/A,N/A,N/A,5,25,5,1,N/A,N/A,N/A,N/A,Y,Y,Y,N,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 25,07/30/18,Ailanthus altissima,Lonicera japonica,Allaria petiolata,N/A,N/A,N/A,N/A,N/A,1,1,3,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 26,07/30/18,Toxicodendron radicans,Lonicera japonica,Ampelopsis glandulosa,Hedera helix,N/A,N/A,N/A,N/A,10,10,5,5,N/A,N/A,N/A,N/A,N,Y,Y,Y,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 27,07/30/18,Toxicodendron radicans,Lonicera japonica,Allaria petiolata,Viburnum acerifolium,Hedera helix,N/A,N/A,N/A,10,10,5,2,3,N/A,N/A,N/A,N,Y,Y,N,Y,N/A,N/A,N/A,,
Stillmeadow Church Pt. 28,07/30/18,Lonicera japonica,Hedera helix,Rosa multiflora,N/A,N/A,N/A,N/A,N/A,8,2,5,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 29,07/31/18,Rosa multiflora,Hedera helix,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,2,1,2,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 30,07/30/18,Ailanthus altissima,Allaria petiolata,Hedera helix,Lonicera japonica,N/A,N/A,N/A,N/A,5,2,3,5,N/A,N/A,N/A,N/A,Y,Y,Y,Y,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 31,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 32,07/31/18,Hedera helix,Lonicera japonica,Parthenocissus quinquefolia,Ampelopsis glandulosa,Diffusa diffusa,N/A,N/A,N/A,25,30,5,5,5,N/A,N/A,N/A,Y,Y,N,Y,N,N/A,N/A,N/A,,
Stillmeadow Church Pt. 33,07/31/18,Toxicodendron radicans,Lonicera japonica,Hedera helix,Ampelopsis glandulosa,N/A,N/A,N/A,N/A,15,50,15,5,N/A,N/A,N/A,N/A,N,Y,Y,Y,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 34,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 35,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 36,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 37,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 38,07/31/18,Lindera benzoin,Hedera helix,Toxicodendron radicans,Parthenocissus quinquefolia,Rosa multiflora,N/A,N/A,N/A,10,10,5,10,5,N/A,N/A,N/A,N,Y,N,N,Y,N/A,N/A,N/A,,
Stillmeadow Church Pt. 39,07/31/18,Ampelopsis glandulosa,Lindera benzoin,Rosa multiflora,Hedera helix,Allaria petiolata,Lonicera japonica,N/A,N/A,5,25,10,3,5,2,N/A,N/A,Y,N,Y,Y,Y,Y,N/A,N/A,,
Stillmeadow Church Pt. 40,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 41,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Stillmeadow Church Pt. 42,07/31/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 1,08/01/18,Oxalis stricta,Parthenocissus quinquefolia,Ailanthus altissima,Ampelopsis glandulosa,Taraxacum,Celastrus orbiculatus,N/A,N/A,20,5,5,15,10,5,N/A,N/A,N,N,Y,Y/N (Both),Y,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 2,08/01/18,Euonymus alata,Hedera helix,Ampelopsis glandulosa,N/A,N/A,N/A,N/A,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Glen Plot 2/ Pt. 4,08/02/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 5,08/02/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 6,08/01/18,Ampelosis glandulosa,Lindera benzoin,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 7,08/01/18,Ampelosis glandulosa,Microstegium vimineum,Smilax riparia,N/A,N/A,N/A,N/A,N/A,13,60,2,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 8,08/06/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 9,08/06/18,Pinellia ternata,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 10,08/01/18,Parthenocissus quinquefolia,Ampelosis glandulosa,Rosa multiflora,Euonymus alata,N/A,N/A,N/A,N/A,1,2,1,1,N/A,N/A,N/A,N/A,N,Y,Y,Y,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 11,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 12,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 13,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 14,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 15,08/14/18,Fraxinus americana,Rosa multiflora,Viburnum acerifolium,Euonymus alata,N/A,N/A,N/A,N/A,5,5,3,2,N/A,N/A,N/A,N/A,N,Y,N,N,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 16,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 17,08/01/18,Ampelopsis glandulosa,Lonicera japonica,Hedera helix,Alliaria petiolata,Lindera benzoin,N/A,N/A,N/A,5,10,1,2,2,N/A,N/A,N/A,Y,Y,Y,Y,N,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 18,08/14/18,Rosa multiflora,Parthenocissus quinquefolia,Viburnum acerifolium,Lonicera japonica,Celastrus orbiculatus,N/A,N/A,N/A,30,5,5,5,10,N/A,N/A,N/A,Y,N,N,Y,N,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 19,08/14/18,Microstegium vimineum,Rosa multiflora,Viburnum acerifolium,N/A,N/A,N/A,N/A,N/A,85,5,10,N/A,N/A,N/A,N/A,N/A,Y,Y,N,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 20,08/14/18,Lonicera japonica,Viburnum acerifolium,Lindera benzoin,Parthenocissus quinquefolia,N/A,N/A,N/A,N/A,10,2,5,1,N/A,N/A,N/A,N/A,Y,N,N,N,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 21,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 22,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 23,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 24,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 25,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 26,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 27,08/14/18,Microstegium vimineum,Rosa multiflora,Viburnum acerifolium,Arthraxon hispidus,N/A,N/A,N/A,N/A,40,5,5,30,N/A,N/A,N/A,N/A,Y,Y,N,Y,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 28,08/14/18,Microstegium vimineum,Lindera benzoin,Rosa multiflora,Viburnum acerifolium,Ampelopsis glandulosa,N/A,N/A,N/A,80,5,5,5,5,N/A,N/A,N/A,Y,N,Y,N,Y,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 29,08/14/18,Viburnum acerifolium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 2/ Pt. 30,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 1,08/02/18,Turf,Alliaria petiolata,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N,Y,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 2,08/02/18,Hedera helix,Ampelopsis grandulosa,Euonymus alata,N/A,N/A,N/A,N/A,N/A,1,1,2,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 3,08/02/18,Turf,Rosa multiflora,Plantago asiatica,Microstegium vimineum,Viola collina,N/A,N/A,N/A,60,5,10,5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 4,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 6,08/02/18,Microstegium vimineum,Turf,N/A,N/A,N/A,N/A,N/A,N/A,35,50,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 7,08/07/18,Lindera benzoin,Viburnum acerifolium,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,80,5,5,N/A,N/A,N/A,N/A,N/A,N,N,Y,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 8,08/06/18,Ampelopsis glandulosa,Euonymus alata,Viola collina,Lindera benzoin,Hedera helix,Pinellia ternata,N/A,N/A,2,5,8,10,1,4,N/A,N/A,Y,Y,Y,N,Y,Y,N/A,N/A,,
Forest Glen Plot 3/ Pt. 9,08/07/18,Lindera benzoin,Parthenocissus quinquefolia,Lonicera japonica,Viola collina,N/A,N/A,N/A,N/A,5,1,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 10,08/02/18,Viola collina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 11,08/02/18,Lonicera japonica,Robinia pseudoacacia,Rosa Multiflora,N/A,N/A,N/A,N/A,N/A,50,2,40,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 12,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 13,08/02/18,Turf,Viola collina,Microstegium vimineum,N/A,N/A,N/A,N/A,N/A,10,20,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 14,08/02/18,Lonicera japonica,Viburnum acerifolium,Hedera helix,Pinellia ternata,N/A,N/A,N/A,N/A,5,8,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Forest Glen Plot 3/ Pt. 15,08/06/18,Ampelopsis glandulosa,Rosa multiflora,Amphicarpaea bracteata,Parthenocissus quinquefolia,N/A,N/A,N/A,N/A,5,10,40,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
